,KODE_KEL_DESA,KODE_KEC,KODE_KAB_KOTA,KODE_PROVINSI,NAMA_KEL_DESA,NAMA_KECAMATAN,NAMA_KAB_KOTA,NAMA_PROVINSI,Total_DPT
0,36.01.09.2006,36.01.09,36.01,36,Bama,Pagelaran,Pandeglang,Banten,4282.0
1,36.01.09.2010,36.01.09,36.01,36,Bulagor,Pagelaran,Pandeglang,Banten,3148.0
2,36.01.09.2011,36.01.09,36.01,36,Harapankarya,Pagelaran,Pandeglang,Banten,2706.0
3,36.01.09.2005,36.01.09,36.01,36,Kertasana,Pagelaran,Pandeglang,Banten,2546.0
4,36.01.09.2013,36.01.09,36.01,36,Margagiri,Pagelaran,Pandeglang,Banten,5644.0
5,36.01.09.2007,36.01.09,36.01,36,Margasana,Pagelaran,Pandeglang,Banten,3774.0
6,36.01.09.2004,36.01.09,36.01,36,Montor,Pagelaran,Pandeglang,Banten,4750.0
7,36.01.09.2002,36.01.09,36.01,36,Pagelaran,Pagelaran,Pandeglang,Banten,4980.0
8,36.01.09.2012,36.01.09,36.01,36,Senangsari,Pagelaran,Pandeglang,Banten,2805.0
9,36.01.09.2008,36.01.09,36.01,36,Sindanglaya,Pagelaran,Pandeglang,Banten,2627.0
10,36.01.09.2001,36.01.09,36.01,36,Sukadame,Pagelaran,Pandeglang,Banten,3087.0
11,36.01.09.2003,36.01.09,36.01,36,Surakarta,Pagelaran,Pandeglang,Banten,2200.0
12,36.01.09.2009,36.01.09,36.01,36,Tegalpapak,Pagelaran,Pandeglang,Banten,3162.0
13,36.01.07.2001,36.01.07,36.01,36,Angsana,Angsana,Pandeglang,Banten,4659.0
14,36.01.16.2015,36.01.16,36.01,36,Babadsari,Jiput,Pandeglang,Banten,2078.0
15,36.01.24.2014,36.01.24,36.01,36,Babakankeusik,Patia,Pandeglang,Banten,3712.0
16,36.01.26.2005,36.01.26,36.01,36,Babakanlor,Cikedal,Pandeglang,Banten,5773.0
17,36.01.26.2010,36.01.26,36.01,36,Bangkuyung,Cikedal,Pandeglang,Banten,3637.0
18,36.01.28.2001,36.01.28,36.01,36,Banjarmasin,Carita,Pandeglang,Banten,6432.0
19,36.01.05.2007,36.01.05,36.01,36,Banyuasih,Cigeulis,Pandeglang,Banten,4547.0
20,36.01.12.2003,36.01.12,36.01,36,Banyubiru,Labuan,Pandeglang,Banten,2121.0
21,36.01.12.2015,36.01.12,36.01,36,Banyumekar,Labuan,Pandeglang,Banten,2783.0
22,36.01.16.2013,36.01.16,36.01,36,Banyuresmi,Jiput,Pandeglang,Banten,4914.0
23,36.01.02.2004,36.01.02,36.01,36,Batuhideung,Cimanggu,Pandeglang,Banten,2696.0
24,36.01.35.2004,36.01.35,36.01,36,Bojen,Sobang,Pandeglang,Banten,1082.0
25,36.01.35.2008,36.01.35,36.01,36,Bojenwetan,Sobang,Pandeglang,Banten,1022.0
26,36.01.12.2004,36.01.12,36.01,36,Caringin,Labuan,Pandeglang,Banten,8014.0
27,36.01.28.2002,36.01.28,36.01,36,Carita,Carita,Pandeglang,Banten,4365.0
28,36.01.26.2009,36.01.26,36.01,36,Cening,Cikedal,Pandeglang,Banten,3322.0
29,36.01.24.2018,36.01.24,36.01,36,Ciawi,Patia,Pandeglang,Banten,3183.0
30,36.01.02.2002,36.01.02,36.01,36,Cibadak,Cimanggu,Pandeglang,Banten,3743.0
31,36.01.03.2012,36.01.03,36.01,36,Cibaliung,Cibaliung,Pandeglang,Banten,3743.0
32,36.01.03.2008,36.01.03,36.01,36,Cibingbin,Cibaliung,Pandeglang,Banten,3407.0
33,36.01.08.2009,36.01.08,36.01,36,Cibitung,Munjul,Pandeglang,Banten,2372.0
34,36.01.29.2008,36.01.29,36.01,36,Cibungur,Sukaresmi,Pandeglang,Banten,7796.0
35,36.01.02.2006,36.01.02,36.01,36,Ciburial,Cimanggu,Pandeglang,Banten,2822.0
36,36.01.05.2009,36.01.05,36.01,36,Cigeulis,Cigeulis,Pandeglang,Banten,4661.0
37,36.01.12.2012,36.01.12,36.01,36,Cigondang,Labuan,Pandeglang,Banten,9691.0
38,36.01.01.2005,36.01.01,36.01,36,Cigorondong,Sumur,Pandeglang,Banten,3191.0
39,36.01.03.2015,36.01.03,36.01,36,Cihanjuang,Cibaliung,Pandeglang,Banten,5007.0
40,36.01.02.2007,36.01.02,36.01,36,Cijaralang,Cimanggu,Pandeglang,Banten,2712.0
41,36.01.27.2004,36.01.27,36.01,36,Cikadu,Cibitung,Pandeglang,Banten,2204.0
42,36.01.27.2009,36.01.27,36.01,36,Cikalong,Cibitung,Pandeglang,Banten,579.0
43,36.01.07.2005,36.01.07,36.01,36,Cikayas,Angsana,Pandeglang,Banten,4817.0
44,36.01.04.2007,36.01.04,36.01,36,Cikeusik,Cikeusik,Pandeglang,Banten,4626.0
45,36.01.27.2003,36.01.27,36.01,36,Cikiruh,Cibitung,Pandeglang,Banten,958.0
46,36.01.04.2014,36.01.04,36.01,36,Cikiruhwetan,Cikeusik,Pandeglang,Banten,9360.0
47,36.01.29.2010,36.01.29,36.01,36,Cikuya,Sukaresmi,Pandeglang,Banten,4240.0
48,36.01.02.2008,36.01.02,36.01,36,Cimanggu,Cimanggu,Pandeglang,Banten,3378.0
49,36.01.35.2001,36.01.35,36.01,36,Cimanis,Sobang,Pandeglang,Banten,493.0
50,36.01.07.2009,36.01.07,36.01,36,Cipinang,Angsana,Pandeglang,Banten,1439.0
51,36.01.05.2006,36.01.05,36.01,36,Ciseureuheun,Cigeulis,Pandeglang,Banten,5625.0
52,36.01.27.2007,36.01.27,36.01,36,Citeluk,Cibitung,Pandeglang,Banten,2727.0
53,36.01.06.2011,36.01.06,36.01,36,Citeureup,Panimbang,Pandeglang,Banten,2567.0
54,36.01.03.2007,36.01.03,36.01,36,Curug,Cibaliung,Pandeglang,Banten,2722.0
55,36.01.04.2009,36.01.04,36.01,36,Curugciung,Cikeusik,Pandeglang,Banten,3992.0
56,36.01.26.2004,36.01.26,36.01,36,Dahu,Cikedal,Pandeglang,Banten,3063.0
57,36.01.06.2004,36.01.06,36.01,36,Gombong,Panimbang,Pandeglang,Banten,4922.0
58,36.01.24.2011,36.01.24,36.01,36,Idaman,Patia,Pandeglang,Banten,1918.0
59,36.01.16.2005,36.01.16,36.01,36,Janaka,Jiput,Pandeglang,Banten,4246.0
60,36.01.16.2008,36.01.16,36.01,36,Jayamekar,Jiput,Pandeglang,Banten,2513.0
61,36.01.16.2002,36.01.16,36.01,36,Jiput,Jiput,Pandeglang,Banten,7222.0
62,36.01.07.2007,36.01.07,36.01,36,Kadubadak,Angsana,Pandeglang,Banten,2183.0
63,36.01.12.2013,36.01.12,36.01,36,Kalanganyar,Labuan,Pandeglang,Banten,7502.0
64,36.01.05.2001,36.01.05,36.01,36,Karangbolong,Cigeulis,Pandeglang,Banten,5768.0
65,36.01.07.2004,36.01.07,36.01,36,Karangsari,Angsana,Pandeglang,Banten,4866.0
66,36.01.05.2004,36.01.05,36.01,36,Karyabuana,Cigeulis,Pandeglang,Banten,4406.0
67,36.01.29.2002,36.01.29,36.01,36,Karyasari,Sukaresmi,Pandeglang,Banten,1903.0
68,36.01.26.2006,36.01.26,36.01,36,Karyautama,Cikedal,Pandeglang,Banten,3307.0
69,36.01.05.2002,36.01.05,36.01,36,Katumbiri,Cigeulis,Pandeglang,Banten,3430.0
70,36.01.28.2008,36.01.28,36.01,36,Kawoyang,Carita,Pandeglang,Banten,3029.0
71,36.01.01.2002,36.01.01,36.01,36,Kertajaya,Sumur,Pandeglang,Banten,5055.0
72,36.01.01.2003,36.01.01,36.01,36,Kertamukti,Sumur,Pandeglang,Banten,1661.0
73,36.01.35.2003,36.01.35,36.01,36,Kertaraharja,Sobang,Pandeglang,Banten,502.0
74,36.01.27.2008,36.01.27,36.01,36,Kiarajangkung,Cibitung,Pandeglang,Banten,1576.0
75,36.01.27.2005,36.01.27,36.01,36,Kiarapayung,Cibitung,Pandeglang,Banten,566.0
76,36.01.02.2012,36.01.02,36.01,36,Kramatjaya,Cimanggu,Pandeglang,Banten,4087.0
77,36.01.07.2010,36.01.07,36.01,36,Kramatmanik,Angsana,Pandeglang,Banten,3913.0
78,36.01.29.2006,36.01.29,36.01,36,Kubangkampil,Sukaresmi,Pandeglang,Banten,4365.0
79,36.01.27.2006,36.01.27,36.01,36,Kutakarang,Cibitung,Pandeglang,Banten,4021.0
80,36.01.35.2005,36.01.35,36.01,36,Kutamekar,Sobang,Pandeglang,Banten,0.0
81,36.01.12.2002,36.01.12,36.01,36,Labuan,Labuan,Pandeglang,Banten,15344.0
82,36.01.08.2018,36.01.08,36.01,36,Lebak,Munjul,Pandeglang,Banten,1953.0
83,36.01.04.2010,36.01.04,36.01,36,Leuwibalang,Cikeusik,Pandeglang,Banten,2163.0
84,36.01.03.2011,36.01.03,36.01,36,Mahendra,Cibaliung,Pandeglang,Banten,3946.0
85,36.01.27.2010,36.01.27,36.01,36,Malangnengah,Cibitung,Pandeglang,Banten,1478.0
86,36.01.02.2009,36.01.02,36.01,36,Mangkualam,Cimanggu,Pandeglang,Banten,574.0
87,36.01.27.2002,36.01.27,36.01,36,Manglid,Cibitung,Pandeglang,Banten,2592.0
88,36.01.06.2009,36.01.06,36.01,36,Mekar Jaya,Panimbang,Pandeglang,Banten,17442.0
89,36.01.06.2002,36.01.06,36.01,36,Mekarjaya,Panimbang,Pandeglang,Banten,3513.0
90,36.01.26.2007,36.01.26,36.01,36,Mekarjaya,Cikedal,Pandeglang,Banten,2650.0
91,36.01.03.2001,36.01.03,36.01,36,Mendung,Cibaliung,Pandeglang,Banten,2561.0
92,36.01.04.2006,36.01.04,36.01,36,Nanggala,Cikeusik,Pandeglang,Banten,4862.0
93,36.01.26.2008,36.01.26,36.01,36,Padahayu,Cikedal,Pandeglang,Banten,1082.0
94,36.01.07.2002,36.01.07,36.01,36,Padaherang,Angsana,Pandeglang,Banten,3935.0
95,36.01.07.2003,36.01.07,36.01,36,Padamulya,Angsana,Pandeglang,Banten,3210.0
96,36.01.02.2005,36.01.02,36.01,36,Padasuka,Cimanggu,Pandeglang,Banten,2553.0
97,36.01.16.2001,36.01.16,36.01,36,Pamarayan,Jiput,Pandeglang,Banten,3757.0
98,36.01.35.2007,36.01.35,36.01,36,Pangkalan,Sobang,Pandeglang,Banten,1534.0
99,36.01.06.2001,36.01.06,36.01,36,Panimbangjaya,Panimbang,Pandeglang,Banten,22342.0
100,36.01.04.2005,36.01.04,36.01,36,Parungkokosan,Cikeusik,Pandeglang,Banten,3017.0
101,36.01.29.2005,36.01.29,36.01,36,Pasirkadu,Sukaresmi,Pandeglang,Banten,6359.0
102,36.01.31.2005,36.01.31,36.01,36,Pasirloa,Sindangresmi,Pandeglang,Banten,2018.0
103,36.01.24.2008,36.01.24,36.01,36,Patia,Patia,Pandeglang,Banten,5775.0
104,36.01.28.2006,36.01.28,36.01,36,Pejamben,Carita,Pandeglang,Banten,6343.0
105,36.01.29.2003,36.01.29,36.01,36,Perdana,Sukaresmi,Pandeglang,Banten,2181.0
106,36.01.24.2017,36.01.24,36.01,36,Rahayu,Patia,Pandeglang,Banten,3270.0
107,36.01.04.2004,36.01.04,36.01,36,Rancaseneng,Cikeusik,Pandeglang,Banten,3960.0
108,36.01.12.2001,36.01.12,36.01,36,Rancateureup,Labuan,Pandeglang,Banten,4091.0
109,36.01.16.2012,36.01.16,36.01,36,Salapraya,Jiput,Pandeglang,Banten,3266.0
110,36.01.29.2001,36.01.29,36.01,36,Seuseupan,Sukaresmi,Pandeglang,Banten,2590.0
111,36.01.29.2007,36.01.29,36.01,36,Sidamukti,Sukaresmi,Pandeglang,Banten,8599.0
112,36.01.24.2020,36.01.24,36.01,36,Simpangtiga,Patia,Pandeglang,Banten,2407.0
113,36.01.05.2010,36.01.05,36.01,36,Sinarjaya,Cigeulis,Pandeglang,Banten,4263.0
114,36.01.27.2001,36.01.27,36.01,36,Sindangkerta,Cibitung,Pandeglang,Banten,1113.0
115,36.01.28.2010,36.01.28,36.01,36,Sindanglaut,Carita,Pandeglang,Banten,3061.0
116,36.01.35.2006,36.01.35,36.01,36,Sobang,Sobang,Pandeglang,Banten,3087.0
117,36.01.03.2016,36.01.03,36.01,36,Sorongan,Cibaliung,Pandeglang,Banten,467.0
118,36.01.03.2006,36.01.03,36.01,36,Sudimanik,Cibaliung,Pandeglang,Banten,2401.0
119,36.01.16.2003,36.01.16,36.01,36,Sukacai,Jiput,Pandeglang,Banten,2739.0
120,36.01.03.2009,36.01.03,36.01,36,Sukajadi,Cibaliung,Pandeglang,Banten,10249.0
121,36.01.28.2007,36.01.28,36.01,36,Sukajadi,Carita,Pandeglang,Banten,2868.0
122,36.01.12.2014,36.01.12,36.01,36,Sukamaju,Labuan,Pandeglang,Banten,4611.0
123,36.01.04.2012,36.01.04,36.01,36,Sukamulya,Cikeusik,Pandeglang,Banten,4311.0
124,36.01.28.2004,36.01.28,36.01,36,Sukanegara,Carita,Pandeglang,Banten,4340.0
125,36.01.28.2003,36.01.28,36.01,36,Sukarame,Carita,Pandeglang,Banten,7562.0
126,36.01.29.2004,36.01.29,36.01,36,Sukaresmi,Sukaresmi,Pandeglang,Banten,2119.0
127,36.01.04.2011,36.01.04,36.01,36,Sukaseneng,Cikeusik,Pandeglang,Banten,5020.0
128,36.01.04.2003,36.01.04,36.01,36,Sukawaris,Cikeusik,Pandeglang,Banten,3913.0
129,36.01.01.2001,36.01.01,36.01,36,Sumberjaya,Sumur,Pandeglang,Banten,6635.0
130,36.01.04.2002,36.01.04,36.01,36,Sumurbatu,Cikeusik,Pandeglang,Banten,6766.0
131,36.01.07.2006,36.01.07,36.01,36,Sumurlaban,Angsana,Pandeglang,Banten,570.0
132,36.01.24.2015,36.01.24,36.01,36,Surianeun,Patia,Pandeglang,Banten,3861.0
133,36.01.01.2006,36.01.01,36.01,36,Tamanjaya,Sumur,Pandeglang,Banten,4466.0
134,36.01.02.2010,36.01.02,36.01,36,Tangkil Sari,Cimanggu,Pandeglang,Banten,2192.0
135,36.01.06.2012,36.01.06,36.01,36,Tanjungjaya,Panimbang,Pandeglang,Banten,10593.0
136,36.01.05.2005,36.01.05,36.01,36,Tarumanagara,Cigeulis,Pandeglang,Banten,4514.0
137,36.01.12.2010,36.01.12,36.01,36,Teluk,Labuan,Pandeglang,Banten,13179.0
138,36.01.35.2002,36.01.35,36.01,36,Teluklada,Sobang,Pandeglang,Banten,5092.0
139,36.01.28.2009,36.01.28,36.01,36,Tembong,Carita,Pandeglang,Banten,946.0
140,36.01.16.2004,36.01.16,36.01,36,Tenjolahang,Jiput,Pandeglang,Banten,3052.0
141,36.01.02.2003,36.01.02,36.01,36,Tugu,Cimanggu,Pandeglang,Banten,462.0
142,36.01.01.2004,36.01.01,36.01,36,Tunggaljaya,Sumur,Pandeglang,Banten,4867.0
143,36.01.24.2006,36.01.24,36.01,36,Turus,Patia,Pandeglang,Banten,4191.0
144,36.01.01.2007,36.01.01,36.01,36,Ujungjaya,Sumur,Pandeglang,Banten,5831.0
145,36.01.04.2013,36.01.04,36.01,36,Umbulan,Cikeusik,Pandeglang,Banten,4558.0
146,36.01.02.2011,36.01.02,36.01,36,Waringin Kurung,Cimanggu,Pandeglang,Banten,1128.0
147,36.01.05.2003,36.01.05,36.01,36,Waringinjaya,Cigeulis,Pandeglang,Banten,8020.0
148,36.01.29.2009,36.01.29,36.01,36,Weru,Sukaresmi,Pandeglang,Banten,1522.0
149,36.04.31.2006,36.04.31,36.04,36,Umbul Tanjung,Cinangka,Serang,Banten,3295.0
150,36.04.31.2003,36.04.31,36.04,36,Pasauran,Cinangka,Serang,Banten,1920.0
151,36.04.31.2012,36.04.31,36.04,36,Bantar Wangi,Cinangka,Serang,Banten,2515.0
