,KODE_KEL_DESA,KODE_KEC,KODE_KAB_KOTA,KODE_PROVINSI,POPULASI,JUMLAH_KK,pemuda,dewasa,lansia,Pengangguran,Kerah Biru,Kerah Putih,Profesional,Tidak Sekolah,Sekolah,Universitas,Mayoritas,Minoritas,ISLAM,KRISTEN,KATOLIK,HINDU,BUDDHA,KONGHUCU,KEPERCAYAAN
0,36.73.03.1016,36.73.03,36.73,36,3452,1115,964,1035,355,850,1041,762,2,1015,2357,80,3451,1,3451,1,0,0,0,0,0
1,36.04.11.2004,36.04.11,36.04,36,4290,1403,1316,1190,447,1123,1451,767,1,1254,2993,43,4269,21,4269,13,7,0,1,0,0
2,36.01.09.2007,36.01.09,36.01,36,3584,1221,975,971,432,759,934,885,13,1056,2404,124,3584,0,3584,0,0,0,0,0,0
3,36.01.09.2008,36.01.09,36.01,36,2164,727,605,559,275,509,688,414,9,698,1372,94,2163,1,2163,1,0,0,0,0,0
4,36.01.22.2004,36.01.22,36.01,36,1665,472,453,349,202,486,574,251,0,609,1032,24,1665,0,1665,0,0,0,0,0,0
5,36.01.01.2005,36.01.01,36.01,36,2290,837,528,707,331,459,1103,388,6,664,1574,52,2290,0,2290,0,0,0,0,0,0
6,36.01.12.2003,36.01.12,36.01,36,2368,818,657,653,328,436,864,421,2,726,1575,67,2368,0,2368,0,0,0,0,0,0
7,36.01.01.2002,36.01.01,36.01,36,4249,1460,1163,1146,477,914,1819,807,4,1259,2882,108,4249,0,4249,0,0,0,0,0,0
8,36.01.01.2003,36.01.01,36.01,36,3284,1209,883,964,391,836,1424,510,0,925,2329,30,3284,0,3284,0,0,0,0,0,0
9,36.01.01.2007,36.01.01,36.01,36,4014,1430,1088,1037,510,839,1695,588,0,1301,2676,37,4014,0,4014,0,0,0,0,0,0
10,36.01.02.2001,36.01.02,36.01,36,3390,1320,998,1139,395,780,1558,745,0,1027,2317,46,3387,3,3387,3,0,0,0,0,0
11,36.01.02.2003,36.01.02,36.01,36,1450,580,383,467,229,180,641,289,0,349,1065,36,1450,0,1450,0,0,0,0,0,0
12,36.01.02.2004,36.01.02,36.01,36,3249,1262,898,1022,395,635,1573,466,0,912,2314,23,3246,3,3246,3,0,0,0,0,0
13,36.01.02.2005,36.01.02,36.01,36,3676,1362,916,1167,477,698,1489,816,2,1080,2491,105,3675,1,3675,1,0,0,0,0,0
14,36.01.02.2006,36.01.02,36.01,36,5004,1805,1446,1462,628,1012,1724,1137,7,1528,3318,158,4999,5,4999,3,0,2,0,0,0
15,36.01.02.2007,36.01.02,36.01,36,2809,1009,772,876,336,487,1174,473,0,791,1992,26,2808,1,2808,1,0,0,0,0,0
16,36.01.02.2010,36.01.02,36.01,36,3309,1192,874,1005,373,636,1230,574,3,930,2334,45,3309,0,3309,0,0,0,0,0,0
17,36.01.03.2007,36.01.03,36.01,36,1645,519,448,393,162,593,694,95,0,667,972,6,1645,0,1645,0,0,0,0,0,0
18,36.01.10.2007,36.01.10,36.01,36,3343,1164,931,903,497,822,1254,587,1,930,2369,44,3343,0,3343,0,0,0,0,0,0
19,36.01.03.2008,36.01.03,36.01,36,2887,1043,857,748,284,567,1345,263,0,973,1885,29,2887,0,2887,0,0,0,0,0,0
20,36.01.03.2009,36.01.03,36.01,36,6450,2133,1724,1806,587,1401,1691,1376,13,1979,4101,370,6449,1,6449,1,0,0,0,0,0
21,36.01.03.2011,36.01.03,36.01,36,2492,986,639,768,262,514,1130,332,0,744,1720,28,2491,1,2491,1,0,0,0,0,0
22,36.01.04.2002,36.01.04,36.01,36,4242,1709,1070,1432,530,833,1976,794,2,1289,2901,52,4241,1,4241,1,0,0,0,0,0
23,36.01.04.2004,36.01.04,36.01,36,2624,1040,696,790,343,490,996,611,4,785,1783,56,2624,0,2624,0,0,0,0,0,0
24,36.01.32.2006,36.01.32,36.01,36,2162,708,652,490,249,581,725,303,2,662,1448,52,2161,1,2161,1,0,0,0,0,0
25,36.01.04.2007,36.01.04,36.01,36,4869,1811,1187,1496,680,1160,1928,923,3,1628,3091,150,4869,0,4869,0,0,0,0,0,0
26,36.01.04.2008,36.01.04,36.01,36,2368,894,658,670,284,610,1058,259,0,753,1597,18,2368,0,2368,0,0,0,0,0,0
27,36.01.10.2008,36.01.10,36.01,36,3968,1413,1023,1103,629,818,1504,621,6,1146,2773,49,3965,3,3965,0,3,0,0,0,0
28,36.01.04.2010,36.01.04,36.01,36,1229,443,342,331,160,298,565,195,3,438,783,8,1229,0,1229,0,0,0,0,0,0
29,36.01.04.2011,36.01.04,36.01,36,3131,1162,817,1009,347,740,1419,527,1,1091,1997,43,3131,0,3131,0,0,0,0,0,0
30,36.01.04.2012,36.01.04,36.01,36,3134,1069,762,941,357,817,1476,396,4,1060,2038,36,3134,0,3134,0,0,0,0,0,0
31,36.01.12.2010,36.01.12,36.01,36,10699,3402,3043,2900,1097,2376,6184,1396,17,3106,7258,335,10617,82,10617,49,17,0,16,0,0
32,36.01.05.2003,36.01.05,36.01,36,4291,1636,1143,1319,533,860,2105,430,3,1291,2942,58,4291,0,4291,0,0,0,0,0,0
33,36.01.05.2004,36.01.05,36.01,36,4605,1622,1193,1309,507,1011,1404,835,2,1426,3056,123,4604,1,4604,1,0,0,0,0,0
34,36.01.12.2014,36.01.12,36.01,36,3076,957,811,862,311,641,669,876,6,943,1857,276,3041,35,3041,26,9,0,0,0,0
35,36.01.05.2007,36.01.05,36.01,36,4163,1434,1077,1219,431,659,1513,779,8,1446,2671,46,4161,2,4161,0,0,0,2,0,0
36,36.01.05.2009,36.01.05,36.01,36,3069,1060,777,832,429,674,886,599,6,968,1941,160,3068,1,3068,1,0,0,0,0,0
37,36.01.07.2004,36.01.07,36.01,36,3111,1243,782,949,438,599,1470,586,0,823,2260,28,3111,0,3111,0,0,0,0,0,0
38,36.01.06.2001,36.01.06,36.01,36,15123,5166,4098,4265,1589,3880,5732,2700,30,4675,10059,389,15075,48,15075,9,7,0,32,0,0
39,36.01.13.2010,36.01.13,36.01,36,3553,1161,936,967,448,851,970,712,5,1034,2383,136,3553,0,3553,0,0,0,0,0,0
40,36.01.06.2011,36.01.06,36.01,36,7623,2660,2074,2203,792,1626,2625,1524,9,2277,5154,192,7618,5,7618,3,2,0,0,0,0
41,36.01.07.2006,36.01.07,36.01,36,3179,1150,841,948,414,614,1448,444,0,954,2192,33,3179,0,3179,0,0,0,0,0,0
42,36.01.06.2012,36.01.06,36.01,36,6241,2354,1715,1929,649,1272,2943,794,0,1924,4266,51,6240,1,6240,0,0,1,0,0,0
43,36.01.07.2007,36.01.07,36.01,36,1683,623,436,509,268,354,905,199,0,595,1076,12,1683,0,1683,0,0,0,0,0,0
