,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,Tidak Sekolah,Sekolah,Universitas
29844,36.73.03.1016,36.73.03,36.73,36,1015.0,2357.0,80.0
29845,36.04.11.2004,36.04.11,36.04,36,1254.0,2993.0,43.0
29846,36.01.09.2007,36.01.09,36.01,36,1056.0,2404.0,124.0
29847,36.01.09.2008,36.01.09,36.01,36,698.0,1372.0,94.0
29848,36.01.22.2004,36.01.22,36.01,36,609.0,1032.0,24.0
29849,36.01.01.2005,36.01.01,36.01,36,664.0,1574.0,52.0
29850,36.01.12.2003,36.01.12,36.01,36,726.0,1575.0,67.0
29851,36.01.01.2002,36.01.01,36.01,36,1259.0,2882.0,108.0
29852,36.01.01.2003,36.01.01,36.01,36,925.0,2329.0,30.0
29853,36.01.01.2007,36.01.01,36.01,36,1301.0,2676.0,37.0
29854,36.01.02.2001,36.01.02,36.01,36,1027.0,2317.0,46.0
29855,36.01.02.2003,36.01.02,36.01,36,349.0,1065.0,36.0
29856,36.01.02.2004,36.01.02,36.01,36,912.0,2314.0,23.0
29857,36.01.02.2005,36.01.02,36.01,36,1080.0,2491.0,105.0
29858,36.01.02.2006,36.01.02,36.01,36,1528.0,3318.0,158.0
29859,36.01.02.2007,36.01.02,36.01,36,791.0,1992.0,26.0
29860,36.01.02.2010,36.01.02,36.01,36,930.0,2334.0,45.0
29861,36.01.03.2007,36.01.03,36.01,36,667.0,972.0,6.0
29862,36.01.10.2007,36.01.10,36.01,36,930.0,2369.0,44.0
29863,36.01.03.2008,36.01.03,36.01,36,973.0,1885.0,29.0
29864,36.01.03.2009,36.01.03,36.01,36,1979.0,4101.0,370.0
29865,36.01.03.2011,36.01.03,36.01,36,744.0,1720.0,28.0
29866,36.01.04.2002,36.01.04,36.01,36,1289.0,2901.0,52.0
29867,36.01.04.2004,36.01.04,36.01,36,785.0,1783.0,56.0
29868,36.01.32.2006,36.01.32,36.01,36,662.0,1448.0,52.0
29869,36.01.04.2007,36.01.04,36.01,36,1628.0,3091.0,150.0
29870,36.01.04.2008,36.01.04,36.01,36,753.0,1597.0,18.0
29871,36.01.10.2008,36.01.10,36.01,36,1146.0,2773.0,49.0
29872,36.01.04.2010,36.01.04,36.01,36,438.0,783.0,8.0
29873,36.01.04.2011,36.01.04,36.01,36,1091.0,1997.0,43.0
29874,36.01.04.2012,36.01.04,36.01,36,1060.0,2038.0,36.0
29875,36.01.12.2010,36.01.12,36.01,36,3106.0,7258.0,335.0
29876,36.01.05.2003,36.01.05,36.01,36,1291.0,2942.0,58.0
29877,36.01.05.2004,36.01.05,36.01,36,1426.0,3056.0,123.0
29878,36.01.12.2014,36.01.12,36.01,36,943.0,1857.0,276.0
29879,36.01.05.2007,36.01.05,36.01,36,1446.0,2671.0,46.0
29880,36.01.05.2009,36.01.05,36.01,36,968.0,1941.0,160.0
29881,36.01.07.2004,36.01.07,36.01,36,823.0,2260.0,28.0
29882,36.01.06.2001,36.01.06,36.01,36,4675.0,10059.0,389.0
29883,36.01.13.2010,36.01.13,36.01,36,1034.0,2383.0,136.0
29884,36.01.06.2011,36.01.06,36.01,36,2277.0,5154.0,192.0
29885,36.01.07.2006,36.01.07,36.01,36,954.0,2192.0,33.0
29886,36.01.06.2012,36.01.06,36.01,36,1924.0,4266.0,51.0
29887,36.01.07.2007,36.01.07,36.01,36,595.0,1076.0,12.0
29888,36.01.07.2009,36.01.07,36.01,36,1257.0,2847.0,35.0
29889,36.01.07.2010,36.01.07,36.01,36,711.0,1641.0,11.0
29890,36.01.08.2001,36.01.08,36.01,36,618.0,1522.0,183.0
29891,36.01.08.2005,36.01.08,36.01,36,971.0,2322.0,55.0
29892,36.01.08.2018,36.01.08,36.01,36,652.0,1583.0,42.0
29893,36.01.09.2001,36.01.09,36.01,36,703.0,1734.0,61.0
29894,36.01.09.2002,36.01.09,36.01,36,988.0,2406.0,209.0
29895,36.01.09.2003,36.01.09,36.01,36,491.0,1383.0,41.0
29896,36.01.09.2012,36.01.09,36.01,36,727.0,1665.0,123.0
29897,36.01.10.2001,36.01.10,36.01,36,1472.0,3478.0,55.0
29898,36.01.10.2003,36.01.10,36.01,36,915.0,2185.0,62.0
29899,36.01.10.2004,36.01.10,36.01,36,2206.0,5456.0,191.0
