,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,Pengangguran,Kerah Biru,Kerah Putih,Profesional
29844,36.73.03.1016,36.73.03,36.73,36,850.0,1041.0,762.0,2.0
29845,36.04.11.2004,36.04.11,36.04,36,1123.0,1451.0,767.0,1.0
29846,36.01.09.2007,36.01.09,36.01,36,759.0,934.0,885.0,13.0
29847,36.01.09.2008,36.01.09,36.01,36,509.0,688.0,414.0,9.0
29848,36.01.22.2004,36.01.22,36.01,36,486.0,574.0,251.0,0.0
29849,36.01.01.2005,36.01.01,36.01,36,459.0,1103.0,388.0,6.0
29850,36.01.12.2003,36.01.12,36.01,36,436.0,864.0,421.0,2.0
29851,36.01.01.2002,36.01.01,36.01,36,914.0,1819.0,807.0,4.0
29852,36.01.01.2003,36.01.01,36.01,36,836.0,1424.0,510.0,0.0
29853,36.01.01.2007,36.01.01,36.01,36,839.0,1695.0,588.0,0.0
29854,36.01.02.2001,36.01.02,36.01,36,780.0,1558.0,745.0,0.0
29855,36.01.02.2003,36.01.02,36.01,36,180.0,641.0,289.0,0.0
29856,36.01.02.2004,36.01.02,36.01,36,635.0,1573.0,466.0,0.0
29857,36.01.02.2005,36.01.02,36.01,36,698.0,1489.0,816.0,2.0
29858,36.01.02.2006,36.01.02,36.01,36,1012.0,1724.0,1137.0,7.0
29859,36.01.02.2007,36.01.02,36.01,36,487.0,1174.0,473.0,0.0
29860,36.01.02.2010,36.01.02,36.01,36,636.0,1230.0,574.0,3.0
29861,36.01.03.2007,36.01.03,36.01,36,593.0,694.0,95.0,0.0
29862,36.01.10.2007,36.01.10,36.01,36,822.0,1254.0,587.0,1.0
29863,36.01.03.2008,36.01.03,36.01,36,567.0,1345.0,263.0,0.0
29864,36.01.03.2009,36.01.03,36.01,36,1401.0,1691.0,1376.0,13.0
29865,36.01.03.2011,36.01.03,36.01,36,514.0,1130.0,332.0,0.0
29866,36.01.04.2002,36.01.04,36.01,36,833.0,1976.0,794.0,2.0
29867,36.01.04.2004,36.01.04,36.01,36,490.0,996.0,611.0,4.0
29868,36.01.32.2006,36.01.32,36.01,36,581.0,725.0,303.0,2.0
29869,36.01.04.2007,36.01.04,36.01,36,1160.0,1928.0,923.0,3.0
29870,36.01.04.2008,36.01.04,36.01,36,610.0,1058.0,259.0,0.0
29871,36.01.10.2008,36.01.10,36.01,36,818.0,1504.0,621.0,6.0
29872,36.01.04.2010,36.01.04,36.01,36,298.0,565.0,195.0,3.0
29873,36.01.04.2011,36.01.04,36.01,36,740.0,1419.0,527.0,1.0
29874,36.01.04.2012,36.01.04,36.01,36,817.0,1476.0,396.0,4.0
29875,36.01.12.2010,36.01.12,36.01,36,2376.0,6184.0,1396.0,17.0
29876,36.01.05.2003,36.01.05,36.01,36,860.0,2105.0,430.0,3.0
29877,36.01.05.2004,36.01.05,36.01,36,1011.0,1404.0,835.0,2.0
29878,36.01.12.2014,36.01.12,36.01,36,641.0,669.0,876.0,6.0
29879,36.01.05.2007,36.01.05,36.01,36,659.0,1513.0,779.0,8.0
