,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,POPULASI,JUMLAH_KK
29844,36.73.03.1016,36.73.03,36.73,36,3452.0,1115.0
29845,36.04.11.2004,36.04.11,36.04,36,4290.0,1403.0
29846,36.01.09.2007,36.01.09,36.01,36,3584.0,1221.0
29847,36.01.09.2008,36.01.09,36.01,36,2164.0,727.0
29848,36.01.22.2004,36.01.22,36.01,36,1665.0,472.0
29849,36.01.01.2005,36.01.01,36.01,36,2290.0,837.0
29850,36.01.12.2003,36.01.12,36.01,36,2368.0,818.0
29851,36.01.01.2002,36.01.01,36.01,36,4249.0,1460.0
29852,36.01.01.2003,36.01.01,36.01,36,3284.0,1209.0
29853,36.01.01.2007,36.01.01,36.01,36,4014.0,1430.0
29854,36.01.02.2001,36.01.02,36.01,36,3390.0,1320.0
29855,36.01.02.2003,36.01.02,36.01,36,1450.0,580.0
29856,36.01.02.2004,36.01.02,36.01,36,3249.0,1262.0
29857,36.01.02.2005,36.01.02,36.01,36,3676.0,1362.0
29858,36.01.02.2006,36.01.02,36.01,36,5004.0,1805.0
29859,36.01.02.2007,36.01.02,36.01,36,2809.0,1009.0
29860,36.01.02.2010,36.01.02,36.01,36,3309.0,1192.0
29861,36.01.03.2007,36.01.03,36.01,36,1645.0,519.0
29862,36.01.10.2007,36.01.10,36.01,36,3343.0,1164.0
29863,36.01.03.2008,36.01.03,36.01,36,2887.0,1043.0
29864,36.01.03.2009,36.01.03,36.01,36,6450.0,2133.0
29865,36.01.03.2011,36.01.03,36.01,36,2492.0,986.0
29866,36.01.04.2002,36.01.04,36.01,36,4242.0,1709.0
29867,36.01.04.2004,36.01.04,36.01,36,2624.0,1040.0
29868,36.01.32.2006,36.01.32,36.01,36,2162.0,708.0
29869,36.01.04.2007,36.01.04,36.01,36,4869.0,1811.0
29870,36.01.04.2008,36.01.04,36.01,36,2368.0,894.0
29871,36.01.10.2008,36.01.10,36.01,36,3968.0,1413.0
29872,36.01.04.2010,36.01.04,36.01,36,1229.0,443.0
29873,36.01.04.2011,36.01.04,36.01,36,3131.0,1162.0
29874,36.01.04.2012,36.01.04,36.01,36,3134.0,1069.0
29875,36.01.12.2010,36.01.12,36.01,36,10699.0,3402.0
29876,36.01.05.2003,36.01.05,36.01,36,4291.0,1636.0
29877,36.01.05.2004,36.01.05,36.01,36,4605.0,1622.0
29878,36.01.12.2014,36.01.12,36.01,36,3076.0,957.0
29879,36.01.05.2007,36.01.05,36.01,36,4163.0,1434.0
29880,36.01.05.2009,36.01.05,36.01,36,3069.0,1060.0
