,KODE_KEL_DESA,KODE_KECAMATAN,KODE_KAB_KOTA,KODE_PROVINSI,Mayoritas,Minoritas,ISLAM,KRISTEN,KATOLIK,HINDU,BUDDHA,KONGHUCU,KEPERCAYAAN
29844,36.73.03.1016,36.73.03,36.73,36,3451.0,1.0,3451.0,1.0,0.0,0.0,0.0,0.0,0.0
29845,36.04.11.2004,36.04.11,36.04,36,4269.0,21.0,4269.0,13.0,7.0,0.0,1.0,0.0,0.0
29846,36.01.09.2007,36.01.09,36.01,36,3584.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0
29847,36.01.09.2008,36.01.09,36.01,36,2163.0,1.0,2163.0,1.0,0.0,0.0,0.0,0.0,0.0
29848,36.01.22.2004,36.01.22,36.01,36,1665.0,0.0,1665.0,0.0,0.0,0.0,0.0,0.0,0.0
29849,36.01.01.2005,36.01.01,36.01,36,2290.0,0.0,2290.0,0.0,0.0,0.0,0.0,0.0,0.0
29850,36.01.12.2003,36.01.12,36.01,36,2368.0,0.0,2368.0,0.0,0.0,0.0,0.0,0.0,0.0
29851,36.01.01.2002,36.01.01,36.01,36,4249.0,0.0,4249.0,0.0,0.0,0.0,0.0,0.0,0.0
29852,36.01.01.2003,36.01.01,36.01,36,3284.0,0.0,3284.0,0.0,0.0,0.0,0.0,0.0,0.0
29853,36.01.01.2007,36.01.01,36.01,36,4014.0,0.0,4014.0,0.0,0.0,0.0,0.0,0.0,0.0
29854,36.01.02.2001,36.01.02,36.01,36,3387.0,3.0,3387.0,3.0,0.0,0.0,0.0,0.0,0.0
29855,36.01.02.2003,36.01.02,36.01,36,1450.0,0.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0
29856,36.01.02.2004,36.01.02,36.01,36,3246.0,3.0,3246.0,3.0,0.0,0.0,0.0,0.0,0.0
29857,36.01.02.2005,36.01.02,36.01,36,3675.0,1.0,3675.0,1.0,0.0,0.0,0.0,0.0,0.0
29858,36.01.02.2006,36.01.02,36.01,36,4999.0,5.0,4999.0,3.0,0.0,2.0,0.0,0.0,0.0
29859,36.01.02.2007,36.01.02,36.01,36,2808.0,1.0,2808.0,1.0,0.0,0.0,0.0,0.0,0.0
29860,36.01.02.2010,36.01.02,36.01,36,3309.0,0.0,3309.0,0.0,0.0,0.0,0.0,0.0,0.0
29861,36.01.03.2007,36.01.03,36.01,36,1645.0,0.0,1645.0,0.0,0.0,0.0,0.0,0.0,0.0
29862,36.01.10.2007,36.01.10,36.01,36,3343.0,0.0,3343.0,0.0,0.0,0.0,0.0,0.0,0.0
29863,36.01.03.2008,36.01.03,36.01,36,2887.0,0.0,2887.0,0.0,0.0,0.0,0.0,0.0,0.0
29864,36.01.03.2009,36.01.03,36.01,36,6449.0,1.0,6449.0,1.0,0.0,0.0,0.0,0.0,0.0
29865,36.01.03.2011,36.01.03,36.01,36,2491.0,1.0,2491.0,1.0,0.0,0.0,0.0,0.0,0.0
29866,36.01.04.2002,36.01.04,36.01,36,4241.0,1.0,4241.0,1.0,0.0,0.0,0.0,0.0,0.0
29867,36.01.04.2004,36.01.04,36.01,36,2624.0,0.0,2624.0,0.0,0.0,0.0,0.0,0.0,0.0
29868,36.01.32.2006,36.01.32,36.01,36,2161.0,1.0,2161.0,1.0,0.0,0.0,0.0,0.0,0.0
29869,36.01.04.2007,36.01.04,36.01,36,4869.0,0.0,4869.0,0.0,0.0,0.0,0.0,0.0,0.0
29870,36.01.04.2008,36.01.04,36.01,36,2368.0,0.0,2368.0,0.0,0.0,0.0,0.0,0.0,0.0
29871,36.01.10.2008,36.01.10,36.01,36,3965.0,3.0,3965.0,0.0,3.0,0.0,0.0,0.0,0.0
29872,36.01.04.2010,36.01.04,36.01,36,1229.0,0.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0
29873,36.01.04.2011,36.01.04,36.01,36,3131.0,0.0,3131.0,0.0,0.0,0.0,0.0,0.0,0.0
29874,36.01.04.2012,36.01.04,36.01,36,3134.0,0.0,3134.0,0.0,0.0,0.0,0.0,0.0,0.0
29875,36.01.12.2010,36.01.12,36.01,36,10617.0,82.0,10617.0,49.0,17.0,0.0,16.0,0.0,0.0
29876,36.01.05.2003,36.01.05,36.01,36,4291.0,0.0,4291.0,0.0,0.0,0.0,0.0,0.0,0.0
29877,36.01.05.2004,36.01.05,36.01,36,4604.0,1.0,4604.0,1.0,0.0,0.0,0.0,0.0,0.0
29878,36.01.12.2014,36.01.12,36.01,36,3041.0,35.0,3041.0,26.0,9.0,0.0,0.0,0.0,0.0
29879,36.01.05.2007,36.01.05,36.01,36,4161.0,2.0,4161.0,0.0,0.0,0.0,2.0,0.0,0.0
29880,36.01.05.2009,36.01.05,36.01,36,3068.0,1.0,3068.0,1.0,0.0,0.0,0.0,0.0,0.0
29881,36.01.07.2004,36.01.07,36.01,36,3111.0,0.0,3111.0,0.0,0.0,0.0,0.0,0.0,0.0
29882,36.01.06.2001,36.01.06,36.01,36,15075.0,48.0,15075.0,9.0,7.0,0.0,32.0,0.0,0.0
29883,36.01.13.2010,36.01.13,36.01,36,3553.0,0.0,3553.0,0.0,0.0,0.0,0.0,0.0,0.0
29884,36.01.06.2011,36.01.06,36.01,36,7618.0,5.0,7618.0,3.0,2.0,0.0,0.0,0.0,0.0
29885,36.01.07.2006,36.01.07,36.01,36,3179.0,0.0,3179.0,0.0,0.0,0.0,0.0,0.0,0.0
29886,36.01.06.2012,36.01.06,36.01,36,6240.0,1.0,6240.0,0.0,0.0,1.0,0.0,0.0,0.0
29887,36.01.07.2007,36.01.07,36.01,36,1683.0,0.0,1683.0,0.0,0.0,0.0,0.0,0.0,0.0
29888,36.01.07.2009,36.01.07,36.01,36,4138.0,1.0,4138.0,1.0,0.0,0.0,0.0,0.0,0.0
29889,36.01.07.2010,36.01.07,36.01,36,2362.0,1.0,2362.0,1.0,0.0,0.0,0.0,0.0,0.0
29890,36.01.08.2001,36.01.08,36.01,36,2322.0,1.0,2322.0,1.0,0.0,0.0,0.0,0.0,0.0
29891,36.01.08.2005,36.01.08,36.01,36,3348.0,0.0,3348.0,0.0,0.0,0.0,0.0,0.0,0.0
29892,36.01.08.2018,36.01.08,36.01,36,2275.0,2.0,2275.0,2.0,0.0,0.0,0.0,0.0,0.0
29893,36.01.09.2001,36.01.09,36.01,36,2498.0,0.0,2498.0,0.0,0.0,0.0,0.0,0.0,0.0
29894,36.01.09.2002,36.01.09,36.01,36,3596.0,7.0,3596.0,3.0,4.0,0.0,0.0,0.0,0.0
29895,36.01.09.2003,36.01.09,36.01,36,1915.0,0.0,1915.0,0.0,0.0,0.0,0.0,0.0,0.0
29896,36.01.09.2012,36.01.09,36.01,36,2515.0,0.0,2515.0,0.0,0.0,0.0,0.0,0.0,0.0
