,KODE_KEC,KODE_KAB_KOTA,KODE_PROVINSI,NAMA_KECAMATAN,NAMA_KAB_KOTA,NAMA_PROVINSI,LUAS_HA,LUAS_SQKM,KODE,Total_DPT,AIRIN,ANDRA,TT/TJ/BM/RHS,Survey,Potensi,strategy_key
0,36.01.01,36.01,36,Sumur,Pandeglang,Banten,39872.84999,398.7284999,360101,31706,0.3,0.3,0.4,Sedang,Sedang,Survey Sedang_Potensi Sedang
1,36.01.02,36.01,36,Cimanggu,Pandeglang,Banten,41495.99615,414.9599615,360102,28526,0.3,0.6,0.1,Tinggi,Rendah,Survey Tinggi_Potensi Rendah
2,36.01.03,36.01,36,Cibaliung,Pandeglang,Banten,11180.05736,111.8005736,360103,34503,0.3,0.3,0.4,Sedang,Sedang,Survey Sedang_Potensi Sedang
3,36.01.04,36.01,36,Cikeusik,Pandeglang,Banten,19910.70955,199.1070955,360104,67872,0.3,0.3,0.4,Sedang,Sedang,Survey Sedang_Potensi Sedang
4,36.01.05,36.01,36,Cigeulis,Pandeglang,Banten,17482.67548,174.8267548,360105,45234,0.3,0.3,0.4,Sedang,Sedang,Survey Sedang_Potensi Sedang
5,36.01.06,36.01,36,Panimbang,Pandeglang,Banten,10038.09058,100.3809058,360106,61379,0.4,0.55,0.05,Tinggi,Rendah,Survey Tinggi_Potensi Rendah
6,36.01.07,36.01,36,Angsana,Pandeglang,Banten,8942.636938,89.42636938,360107,29592,0.3,0.3,0.4,Sedang,Sedang,Survey Sedang_Potensi Sedang
7,36.01.08,36.01,36,Munjul,Pandeglang,Banten,8004.001429,80.04001429,360108,18350,0.3,0.3,0.4,Sedang,Sedang,Survey Sedang_Potensi Sedang
8,36.01.09,36.01,36,Pagelaran,Pandeglang,Banten,4076.589717,40.76589717,360109,45711,0.3,0.3,0.4,Sedang,Sedang,Survey Sedang_Potensi Sedang
9,36.01.10,36.01,36,Bojong,Pandeglang,Banten,4634.97674,46.3497674,360110,52935,0.3,0.3,0.4,Sedang,Sedang,Survey Sedang_Potensi Sedang
10,36.01.11,36.01,36,Picung,Pandeglang,Banten,5197.292468,51.97292468,360111,25452,0.9,0.1,0,Rendah,Rendah,Survey Rendah_Potensi Rendah
11,36.01.12,36.01,36,Labuan,Pandeglang,Banten,1641.634001,16.41634001,360112,67336,0.3,0.3,0.4,Sedang,Sedang,Survey Sedang_Potensi Sedang
12,36.01.13,36.01,36,Menes,Pandeglang,Banten,2277.831159,22.77831159,360113,45733,0.5,0.5,0,Tinggi,Rendah,Survey Tinggi_Potensi Rendah
13,36.01.14,36.01,36,Saketi,Pandeglang,Banten,5637.024544,56.37024544,360114,26080,0.3,0.3,0.4,Sedang,Sedang,Survey Sedang_Potensi Sedang
14,36.01.15,36.01,36,Cipeucang,Pandeglang,Banten,2864.245951,28.64245951,360115,27389,0.3,0.3,0.4,Sedang,Sedang,Survey Sedang_Potensi Sedang
15,36.01.16,36.01,36,Jiput,Pandeglang,Banten,5654.766155,56.54766155,360116,45440,0.5,0.5,0,Tinggi,Rendah,Survey Tinggi_Potensi Rendah
16,36.01.17,36.01,36,Mandalawangi,Pandeglang,Banten,8271.155029,82.71155029,360117,73569,0.3,0.3,0.4,Sedang,Sedang,Survey Sedang_Potensi Sedang
17,36.01.18,36.01,36,Cimanuk,Pandeglang,Banten,2611.901956,26.11901956,360118,25299,0.4,0.6,0,Tinggi,Rendah,Survey Tinggi_Potensi Rendah
18,36.01.19,36.01,36,Kaduhejo,Pandeglang,Banten,3787.207494,37.87207494,360119,19264,0.3,0.3,0.4,Sedang,Sedang,Survey Sedang_Potensi Sedang
19,36.01.20,36.01,36,Banjar,Pandeglang,Banten,3048.454645,30.48454645,360120,35209,0.3,0.3,0.4,Sedang,Sedang,Survey Sedang_Potensi Sedang
20,36.01.21,36.01,36,Pandeglang,Pandeglang,Banten,1620.741233,16.20741233,360121,15345,0.3,0.3,0.4,Sedang,Sedang,Survey Sedang_Potensi Sedang
